"text","narrator","source","grade"
"لا يقولُها أحدٌ حينَ يُمسي فيأتي عليهِ قَدَرٌ قبلَ أن يُصْبِحَ إلَّا وجبت لهُ الجنة ولا يقولُها حينَ يصبحُ فيأتي عليهِ قدرٌ قبلَ أن يُمْسيَ إلَّا وجبت لهُ الجنةُ [ يعني دعاء سيد الاستغفار ].","شداد بن أوس","الترغيب والترهيب","[إسناده صحيح أو حسن أو ما قاربهما]"
"من حلف على يمينٍ فهو كما حلف إن قال : هو يهوديٌّ ، فهو يهوديٌّ ، وإن قال : هو نصرانيٌّ ، فهو نصرانيٌّ ، وإن قال هو بريءٌ من الإسلامِ فهو بريءٌ من الإسلامِ ، ومن ادَّعَى دعاءَ الجاهليَّةِ فإنَّه من جُثا جهنَّمَ ، قالوا : يا رسولَ اللهِ ، وإن صام وصلَّى ؟ قال : وإن صام وصلَّى.","أبو هريرة","الترغيب والترهيب","[إسناده صحيح أو حسن أو ما قاربهما]"
"يا رسولَ اللَّهِ علِّمني دعاءً أَدعو بِهِ في صلاتي. قالَ: قُل: اللَّهمَّ إنِّي ظلَمتُ نَفسي ظلمًا كثيرًا ولا يغفرُ الذُّنوبَ إلَّا أنتَ فاغفِر لي مغفرةً من عندِكَ وارحَمني إنَّكَ أنتَ الغفورُ الرَّحيمُ.","أبو بكر الصديق","صحيح الترمذي","صحيح"
"""ثلاثٌ لا يَحِلُّ لأحدٍ أنْ يَفعَلَهُنَّ: لا يَؤُمُّ رَجلٌ قومًا فيَخُصُّ نفْسَه بالدُّعاءِ دونَهم، فإنْ فعَلَ فقد خانَهم، ولا يَنظُرُ في قَعرِ بيتٍ قبلَ أنْ يَستَأذِنَ، فإنْ فعَلَ فقد دخَلَ، ولا يُصلِّي وهو حَقِنٌ حتى يَتخفَّفَ"".","ثوبان","تخريج سنن أبي داود","صحيح لغيره دون قوله: ""لا يؤم رجل قوما فيخص نفسه بالدعاء دونهم"""
"اللهُ أكبَرُ عَشْرَ مرَّاتٍ، ثم يُسبِّحُ عَشْرًا، ويُهلِّلُ عَشْرًا، ويَستغفِرُ عَشْرًا، ثم يقولُ: اللَّهُمَّ اغفِرْ لي، واهْدِني وارْزُقني عَشْرًا، ثم يقولُ: اللَّهُمَّ إنِّي أعوذُ بك من ضِيقِ المَقامِ يَومَ القيامةِ عَشْرًا يعني: في دُعاءِ الاستِفتاحِ.","-","سفر السعادة","صحيح"
"علِّمني يا رَسولَ اللَّهِ دعاءً أدعو بِهِ في صَلاتي، وفي بَيتي قالَ: قلِ: اللَّهمَّ إنِّي ظَلمتُ نَفسي ظلمًا كَثيرًا، ولا يَغفِرُ الذُّنوبَ إلَّا أنتَ، فاغفِر لي مَغفرةً مِن عندِكَ، وارحَمني إنَّكَ أنتَ الغفورُ الرَّحيمُ.","أبو بكر الصديق","صحيح ابن خزيمة","أخرجه في صحيحه"
"أنَّ رَسولَ اللهِ صلَّى اللهُ عليه وسلَّمَ أخذ بيَدِه فعَلَّمَه التشَهُّدَ في الصَّلاةِ. فذكر مِثْلَ دُعاءِ الأعمَشِ -يعني مِثْلَ حَديثِ مُسلِمٍ- قال: ""إذا قُلتَ هذا أو قَضَيتَ هذا، فقد قَضَيتَ صَلاتَك، إنْ شِئتَ أن تقومَ فقُمْ، وإن شِئْتَ أن تقعُدَ فاقعُدْ.","عبد الله بن مسعود","الأحكام الوسطى","هذه الزيادة إنما هي من قول ابن مسعود، ذكر ذلك أبو بكر الخطيب في كتاب الفصل للوصل وبينه، وهو الصحيح على ما قال غيره أيضا"
"أنَّه قال لرَسولِ اللهِ صلَّى اللهُ عليه وسلَّم: عَلِّمني دُعاءً أدعو به في صَلاتي، قال: قُل: اللهُمَّ إنِّي ظَلَمتُ نَفسي ظُلمًا كَثيرًا، ولا يَغفِرُ الذُّنوبَ إلَّا أنتَ؛ فاغفِرْ لي مَغفِرةً مِن عِندِك، وارحَمْني إنَّك أنتَ الغَفورُ الرَّحيمُ.","أبو بكر الصديق","صحيح البخاري","[صحيح]"
"أنَّ النَّبيَّ صلَّى اللهُ عليه وعلى آلِه وسلَّمَ كانَ يَدْعو بِهذه الدَّعَواتِ: «اللَّهُمَّ إنِّي أَعوذُ بك مِن عِلمٍ لا يَنفَعُ، وقَلْبٍ لا يَخشَعُ، ودُعاءٍ لا يُسمَعُ، ونَفْسٍ لا تَشبَعُ»، ثُمَّ يقولُ «اللَّهُمَّ إنِّي أَعوذُ بك مِن هؤلاء الأرْبَعِ».","أنس بن مالك","الصحيح المسند","[ذكره في الصحيح المسند]"
"أنَّه قال للنَّبيِّ صلَّى اللهُ عليه وسلَّمَ: عَلِّمْني دُعاءً أَدْعُو بهِ في صَلاتي، قال: قُلْ: «اللَّهمَّ إنِّي ظَلَمْتُ نَفْسي ظُلْمًا كثيرًا، ولا يَغفِرُ الذُّنوبَ إلَّا أنتَ، فاغفِرْ لي مَغفِرةً مِن عِندِكَ، وارْحَمْني؛ إنَّك أنتَ الغفورُ الرَّحيمُ».","أبو بكر الصديق","تخريج مسند أبي بكر","إسناده صحيح"
"قال لرسولِ اللهِ صلَّى اللهُ عليه وسلَّمَ: عَلِّمْني دُعاءً أَدْعُو بهِ في صَلاتي، قال: قُلْ: «اللَّهمَّ إنِّي ظلَمْتُ نَفْسي ظُلْمًا كثيرًا، ولا يَغفِرُ الذُّنوبَ إلَّا أنتَ، فاغفِرْ لي مَغفِرةً مِن عِندِكَ، وارْحَمْني؛ إنَّك أنتَ الغفورُ الرَّحيمُ».","أبو بكر الصديق","تخريج مسند أبي بكر","إسناده صحيح"
"أتيتُ رَسولَ اللَّهِ صلَّى اللَّهُ علَيهِ وسلَّمَ فرأيتُهُ يرفعُ يديهِ إذا افتتحَ الصَّلاةَ ... وإذا جلَسَ في الرَّكعتينِ أضجعَ اليُسرى ونصَبَ اليُمنى ووضعَ يدَهُ اليُمنى علَى فَخذِهِ اليُمنى ، ونصبَ إصبعَهُ للدُّعاءِ ووضعَ يدَهُ اليُسرى علَى رجلِهِ اليُسرى.","وائل بن حجر","تمام المنة","إسناده صحيح"
"-في حديثِ أبي أحمدَ: شَكَلِ بنِ حُميدٍ- قال: قُلتُ: يا رسولَ اللهِ، علِّمْني دعاءً ، قال: قُلِ: اللَّهمَّ إنِّي أعوذُ بك مِن شرِّ سَمْعي، ومِن شرِّ بصَري، ومِن شرِّ لِساني، ومِن شرِّ قلبي، ومِن شرِّ مَنِيِّي.","شكل بن حميد العبسي","تخريج سنن أبي داود","إسناده صحيح"
"عَن شَكَلِ بنِ حُمَيدٍ، قال: أتَيتُ النَّبيَّ صلَّى اللهُ عليه وسلَّم، فذَكَرَ الحَديثَ [عَن شَكَلٍ، قال: قُلتُ: يا رَسولَ اللهِ، عَلِّمني دُعاءً أنتَفِعُ به، قال: قُل: اللهُمَّ إنِّي أعوذُ بكَ مِن شَرِّ سَمعي وبَصَري، وقَلبي ومَنيِّي].","شكل بن حميد","تخريج المسند لشعيب","إسناده صحيح"
"سألتُ ابنَ عباسٍ عن صلاةِ رسولِ اللهِ صلَّى اللهُ عليْهِ وسلَّمَ في الاستسقاءِ ؟ فقال : خرج رسولُ اللهِ صلَّى اللهُ عليْهِ وسلَّمَ متبذِّلًا متواضعًا متضرعًا ، فجلس على المنبرِ ، فلم يخطب خطبتُكم هذه ، لكن لم يزل في التضرعِ ، والدعاءِ ، والتكبيرِ ، وصلى ركعتيْنِ كما كان يصلِّي في العيدِ.","عبدالله بن عباس","المحلى","احتج به ، وقال في المقدمة: (لم نحتج إلا بخبر صحيح من رواية الثقات مسند)"
"أنه سمع ابنَهُ يقولُ: اللَّهُمَّ إنِّي أسألُكَ القَصرَ الأبيضَ عن يمينِ الجنَّةِ ، قالَ: أي بُنَيَّ سلِ اللَّهَ الجنَّةَ وتعوَّذ بهِ منَ النَّارِ فإنِّي سَمِعْتُ رسولَ اللَّهِ صلَّى اللَّهُ علَيهِ وسلَّمَ يقول : إنَّه سَيكونُ في هذِهِ الأمَّةِ قومٌ يعتَدونَ في الطَّهورِ والدُّعاءِ.","عبدالله بن مغفل","هداية الرواة","إسناده صحيح"
"قُلْتُ لأنَسِ بنِ مالكٍ : أخبِرْني عن دعاءٍ كان يدعو به النَّبيُّ صلَّى اللهُ عليه وسلَّم قال : ( اللَّهمَّ آتِنا في الدُّنيا حَسنةً وفي الآخرةِ حَسنةً وقِنا عذابَ النَّارِ ) فلقِيتُ إسماعيلَ فسأَلْتُه فقال : أكثَرُ دعوةٍ يدعو بها : ( ربَّنا آتِنا في الدُّنيا حَسنةً وفي الآخرةِ حَسنةً وقِنا عذابَ النَّارِ ).","أنس بن مالك","صحيح ابن حبان","أخرجه في صحيحه"
"كنَّا جُلوسًا عندَ رسولِ اللهِ صلَّى اللهُ عليه وسلَّمَ، فقالَ: ألا أُخبِرُكم بشيءٍ إذا نَزَلَ برَجُلٍ منكم كَرْبٌ أوْ بلاءٌ مِن بلايا الدُّنيا دَعا به يُفرَجُ عنه؟ فقيلَ له: بَلى، فقالَ: دُعاءُ ذي النُّونِ: لا إلَهَ إلَّا أنتَ سُبحانَكَ إنِّي كنتُ مِن الظَّالمينَ.","سعد بن أبي وقاص","المستدرك على الصحيحين","[سكت عنه وقال في المقدمة رواته ثقات احتج بمثله الشيخان أو أحدهما]"
"عن أبي بَكْرٍ الصِّدِّيقِ ، أنَّهُ قالَ لرسولِ اللَّهِ صلَّى اللَّهُ عليهِ وسلَّمَ : علِّمني دعاءً أدعو بِهِ في صلاتي . قالَ : قلِ : اللَّهمَّ إنِّي ظلَمتُ نفسي ظُلمًا كثيرًا ، ولا يغفرُ الذُّنوبَ إلَّا أنتَ ، فاغفر لي مغفرةً من عندِكَ ، وارحَمني ، إنَّكَ أنتَ الغفورُ الرَّحيمُ.","أبو بكر الصديق","تخريج المسند لشاكر","إسناده صحيح"
"مَن حَلَف على يَمينٍ فهو كما حَلَف؛ إنْ قالَ: هو يَهوديٌّ، فهو يَهوديٌّ، وإنْ قالَ: هو نَصرانيٌّ، فهو نَصرانيٌّ، وإنْ قال هو بَريءٌ منَ الإسلامِ، فهو بَريءٌ منَ الإسلامِ، ومَنِ ادَّعى دُعاءَ الجاهِلِيَّةِ فإنَّه مِن جُثَا جَهَنَّمَ، قالوا: يا رَسولَ اللهِ، وإنْ صامَ وصلَّى؟ قالَ: وإنْ صامَ وصلَّى.","أبو هريرة","المستدرك على الصحيحين","صحيح الإسناد"
"[ عَن ] عبدِ الله بن مُغَفَّلٍ أنه سَمِعَ ابنَه يقولُ: اللهمَّ إني أسألُكَ القصرَ الأبيضَ عن يمين ِالجنة ِإذا دخلتُهَا ، فقال: يا بنيَّ سل ِالله َالجنة َوتعوَّذْ به من النارِ فإني سمعت ُرسولَ الله صلَّى اللهُ عليه وسلَّم يقولُ: إنه سيكونُ في هذهِ الأمة ِقومٌ يعتدُون في الطُّهورِ والدعاءِ.","عبدالله بن مغفل","البدر المنير","صحيح"
"مِثلُه، يَعني مِثلَ دُعاءِ الكَربِ [عَنِ ابنِ عَبَّاسٍ: أنَّ نَبيَّ اللهِ صلَّى اللهُ عليه وسلَّم كان يَدعو عِندَ الكَربِ: لا إلَهَ إلَّا اللهُ العَظيمُ الحَليمُ، لا إلَهَ إلَّا اللهُ أنتَ رَبُّ العَرشِ العَظيمِ، لا إلَهَ إلَّا أنتَ رَبُّ السَّماواتِ ورَبُّ الأرضِ، ورَبُّ العَرشِ الكَريمِ].","عبدالله بن عباس","تخريج المسند لشعيب","إسناده صحيح على شرط مسلم"
"أنَّ أبا بَكرٍ الصِّدِّيقَ رَضيَ اللهُ عنه، قال للنَّبيِّ صلَّى اللهُ عليه وسلَّم: يا رَسولَ اللهِ، عَلِّمْني دُعاءً أدعو به في صَلاتي، قال: قُلِ: اللهُمَّ إنِّي ظَلَمتُ نَفسي ظُلمًا كَثيرًا، ولا يَغفِرُ الذُّنوبَ إلَّا أنتَ، فاغفِرْ لي مِن عِندِكَ مَغفِرةً؛ إنَّكَ أنتَ الغَفورُ الرَّحيمُ.","عبدالله بن عمرو","صحيح البخاري","[صحيح]"
"أنَّ عبْدَ اللهِ بنَ مُغَفَّلٍ سَمِعَ ابْنَهُ يَقولُ: اللَّهُمَّ إنِّي أَسْأَلُكَ القَصْرَ الأَبْيَضَ عنْ يمينِ الجَنَّةِ، إذا دَخَلْتُها، فقالَ: يا بُنَيَّ، سَلِ اللهَ الجَنَّةَ، وتَعَوَّذْ به مِنَ النَّارِ؛ فإنِّي سَمِعْتُ رسولَ اللهِ صلَّى اللهُ عليه وسلَّمَ يقولُ: «إنَّه سَيَكونُ في هذه الأُمَّةِ قَوْمٌ يَعْتَدونَ في الطُّهورِ والدُّعاءِ ».","عبدالله بن مغفل","المستدرك على الصحيحين","[سكت عنه وقال في المقدمة رواته ثقات احتج بمثله الشيخان أو أحدهما]"
"أتيتُ رسولَ اللهِ ، فرأيتُه يرفعُ يدَيه إذا افتتح الصلاةَ حتى يحاذِي مِنكبَيه ، وإذا أراد أن يركعَ ، وإذا جلس في الركعتينِ أضجَع اليسرَى ونصبَ اليمنَى ، ووضع يدَه اليمنَى على فخِذِه اليمنَى ، ونصب إصبعَه للدعاءِ ، ووضع يدَه اليسرَى على فخِذِه اليسرَى . قال : ثم أتيتُهم من قابلٍ ، فرأيتهم يرفعونَ أيدَيهم في البرانسِ.","وائل بن حجر","صحيح النسائي","إسناده صحيح"
"مَن حلف علَى يمينٍ فهوَ كما حلفَ ؛ إن قال : هوَ يَهوديٌّ ؛ فهوَ يَهوديٌّ ، وإن قال : هوَ نَصرانيٌّ ، فهوَ نصرانيٌّ ، وإن قال : هوَ بريءٌ من الإسلامِ ؛ فهوَ بريءٌ من الإسلامِ ، ومن دَعى دُعاءَ الجاهليَّةِ ، فإنَّه مِن جُثَا جهنَّمَ قالوا : يا رسولَ اللهِ ! وإن صامَ وصلَّى ؟ قال : وإِن صامَ وصلَّى.","أبو هريرة","صحيح الترغيب","صحيح لغيره"
"لمَّا وُلِدَ لي إِياسٌ دَعَوْتُ نَفَرًا من أصحابِ النبيِّ صلَّى اللهُ عليهِ وسلَّمَ ؛ فَأَطْعَمْتُهُمْ ، فَدَعَوْا ، فقُلْتُ : إِنَّكُمْ قد دَعَوْتُمْ فَبارَكَ اللهُ لَكُمْ فيما دَعَوْتُمْ ، وإنِّي إنْ أَدْعُو بِدُعَاءٍ فَأَمِّنُوا ، قال : فَدَعَوْتُ لهُ بِدُعَاءٍ كَثِيرٍ في دِينِهِ ، وعَقْلِه وكذا ، قال : فإني لأَتَعَرَّفُ فيهِ دُعَاءَ يومئذٍ.","معاوية بن قرة","صحيح الأدب المفرد","إسناده صحيح مقطوع"
"أنَّ عبدَ اللهِ بنَ مسعودٍ أخَذَ بيدِه، وأنَّ رسولَ اللهِ صلَّى اللهُ عليه وسلَّمَ أخَذَ بيدِ عبدِ اللهِ فعلَّمَه التشهُّدَ في الصَّلاةِ، فذكَرَ مِثلَ دعاءِ حديثِ الأعمشِ: إذا قُلتَ هذا -أو: قضَيتَ هذا- فقد قضَيتَ صلاتَك، إنْ شئتَ أنْ تقومَ فقُمْ، وإنْ شئتَ أنْ تقعُدَ فاقعُدْ.","عبدالله بن مسعود","تخريج سنن أبي داود","إسناده صحيح إلا أنه اختلف على الحسن بن الحر فى قوله: ""إذا قلت هذا فقد قضيت صلاتك ... "" هل هو من كلام النبي - صلى الله عليه وسلم -، أو من كلام ابن مسعود وأدرج في الخبر"
"كان النبيُّ صلَّى اللهُ عليه وسلَّم دفَع إليه زينبَ بنتَ أمِّ سَلَمَةَ, وقال : إنما أنتِ ظِئري, قال : فذهَب فمكَث ما شاء اللهُ, ثم جاء إليه, فقال : ما فعَلَتِ الجويريةُ ؟ قال : عندَ أمِّها, قال : مجيئي ما جئتَ له ؟ قال : جئتُ لتُعلِّمَني دعاءً أقولُه عندَ مَنامي, قال : اقرَأْ قُلْ يا أيُّها الكافِرونَ , فإنهَّا براءةٌ منَ الشركِ.","نوفل بن فروة الأشجعي","تغليق التعليق","إسناده صحيح"
"أتيتُ رسولَ اللهِ صلَّى اللهُ عليه وسلم فرأيتُه يرفعُ يديهِ إذا افتتحَ الصلاةَ حتَّى يُحاذيَ مَنكِبيهِ ، وإذا أراد أنْ يركعَ . وإذا جلس في الركعتينِ أضْجعَ اليسرَى ونصب اليمنَى ووضع يدَهُ اليمنَى على فخِذهِ اليمنَى ونصب أصبعَهُ للدعاءِ ووضع يدَهُ اليسرَى على فخِذهِ اليسرَى . قال : ثمَّ أتيتُهم من قابلٍ فرأيتُهم يرفعونَ أيديَهم في البَرانِسِ.","وائل بن حجر","أصل صفة الصلاة","إسناده صحيح"
"عن أبي بَكرٍ الصِّدِّيقِ، أنَّه قال لرَسولِ اللهِ صلَّى اللهُ عليه وسلَّم: عَلِّمني دُعاءً أدعو به في صَلاتي، قال: «قُلِ اللهمَّ إنِّي ظَلَمتُ نَفسي ظُلمًا كَثيرًا، ولا يَغفِرُ الذُّنوبَ إلَّا أنتَ، فاغفِرْ لي مَغفِرةً مِن عِندِكَ، وارحَمْني إنَّكَ أنتَ الغَفورُ الرَّحيمُ»، وقال يونُسُ: «كَبيرًا» حَدَّثَناه حَسَنٌ الأشيَبُ، عَنِ ابنِ لهيعةَ، قال: «كَبيرًا».","أبو بكر الصديق","تخريج المسند لشعيب","إسناده صحيح على شرط الشيخين"
"كان مِن دُعاءِ رسولِ اللهِ صلَّى اللهُ عليه وسلَّمَ: اللَّهُمَّ أَمْتِعْني بسَمْعي وبَصَري حتَّى تَجعلَهُما الوارِثَ مِنِّي، وعافِني في ديني وجَسدي، وانصُرْني ممَّنْ ظَلَمني حتَّى تُريَني فيه ثَأْري، اللَّهُمَّ إنِّي أَسلَمتُ ديني إليكَ، وفوَّضْتُ أَمري إليكَ، وأَلجأتُ ظَهْري إليكَ، وخَلَّيتُ وَجهي إليكَ، لا مَلجأَ منكَ إلَّا إليكَ، آمنتُ برسولِكَ الَّذي أَرسلتَ، وبكتابِكَ الَّذي أَنزَلْتَ.","علي","المستدرك على الصحيحين","صحيح الإسناد"
"كان داودُ أعبدَ البشرِ.[حديث أبي الدرداء: كانَ مِن دعاءِ داودَ يقولُ : اللَّهُمَّ ! إنِّي أسألُكَ حبَّكَ وحُبَّ مَن يحبُّكَ والعَملَ الَّذي يُبلِّغُني حبَّكَ اللَّهمَّ اجعَل حبَّكَ أحبَّ إليَّ من نفسي وأهلي ومنَ الماءِ الباردِ قالَ وَكانَ رسولُ اللَّهِ صلَّى اللَّهُ عليهِ وسلَّمَ إذا ذَكرَ داودَ يحدِّثُ عنهُ قالَ كانَ أعبَدَ البشَرِ].","أبو الدرداء","الجامع الصغير","صحيح"
"عن أبي موسى أنَّهم كانوا مع رسولِ اللهِ صلَّى اللهُ عليه وسلَّمَ في سَفرٍ، فرَفَعوا أصْواتَهم بالدُّعاءِ ، فقال رسولُ اللهِ صلَّى اللهُ عليه وسلَّمَ: إنَّكم لا تَدعونَ أصَمَّ ولا غائبًا، إنَّكم تَدعونَ قَريبًا مُجيبًا يَسمَعُ دُعاءَكم ويَستجيبُ، ثُمَّ قال: يا عبدَ اللهِ بنَ قَيسٍ -أو: يا أبا موسى- ألَا أدُلُّكَ على كَنزٍ مِن كُنوزِ الجنَّةِ؟ لا حَولَ ولا قوَّةَ إلَّا باللهِ.","أبو موسى الأشعري","تخريج المسند لشعيب","إسناده صحيح على شرط الشيخين"
"كان مِن دُعاءِ النَّبيِّ صلَّى اللهُ عليه وسلَّمَ: ربِّ أَعِنِّي، ولا تُعِنْ عَلَيَّ، وانصُرني ولا تَنصُرْ عَلَيَّ، وامكُرْ لي ولا تَمكُرْ عَلَيَّ، واهدِني ويَسِّرِ الهُدى لي، وانصُرني على مَنْ بَغى عَلَيَّ، ربِّ اجعلْني لكَ شَكَّارًا، لكَ ذَكَّارًا، لكَ رهَّابًا، لكَ مِطواعًا لكَ مُخبتًا، لكَ أوَّاهًا مُنيبًا، تَقبَّلْ تَوبَتي، وأَجِبْ دَعْوتي، واهدِ قَلبي، وثَبِّتْ حُجَّتي، وسَدِّدْ لساني، واسلُلْ سَخيمةَ قَلبي.","عبدالله بن عباس","المستدرك على الصحيحين","صحيح الإسناد"
"عنِ ابنِ عبَّاسٍ رَضيَ اللهُ عنهُما في قولِهِ عزَّ وجلَّ: {وَاخْتَارَ مُوسَى قَوْمَهُ سَبْعِينَ رَجُلًا لِمِيقَاتِنَا} [الأعراف: 155]، قالَ: دَعا موسى فبَعَثَ اللهُ سبعينَ، فجَعَلَ دُعاءهُ حين دَعاهُ لمَنْ آمَنَ بمُحمَّدٍ صلَّى اللهُ عليه وسلَّمَ، واتَّبعَهُ قولَهُ فاغفِرْ لنا وارْحَمْنا وأنتَ خيرُ الغافرينَ، فسأَكْتُبُها للَّذين يَتَّقونَ ويؤتونَ الزَّكاةَ، والَّذينَ يَتَّبِعون مُحمَّدًا صلَّى اللهُ عليه وسلَّمَ.","سعيد بن جبير","المستدرك على الصحيحين","صحيح الإسناد"
"أنَّها جاءَتْ هي وأبواها أبو بَكْرٍ وأُمُّ رُومانَ، فَقَالا: إنَّا نُحِبُّ أنْ تَدْعُوَ لعائشةَ بدَعْوةٍ ونحنُ نَسْمَعُ، فقالَ رَسولُ اللهِ صلَّى اللهُ عليه وسلَّمَ: اللَّهُمَّ اغفِرْ لعائشةَ بنتِ أبي بَكْرٍ الصِّدِّيقِ مَغفرةً واجبةً ظاهرةً باطنةً، فعَجِبَ أبواها لحُسْنِ دعاءِ النَّبيِّ صلَّى اللهُ عليه وسلَّمَ لها، فقالَ: أتَعْجبانِ؟! هذه دَعْوتي لِمَن شَهِدَ أنْ لَا إلَهَ إلَّا اللهُ وأنِّي رَسولُ اللهِ.","عائشة","المستدرك على الصحيحين","[سكت عنه وقال في المقدمة رواته ثقات احتج بمثله الشيخان أو أحدهما]"
"أنَّ مُعاويةَ بنَ حُدَيجٍ مَرَّ على أبي ذَرٍّ وهو قائِمٌ عِندَ فرَسٍ له، فسَألَه: ما تُعالِجُ مِن فرَسِكَ هذا؟ فقال: «إنِّي أظُنُّ أنَّ هذا الفَرَسَ قدِ استُجيبَ له دَعوتُه». قال: وما دُعاءُ البَهيمةِ مِنَ البَهائِمِ؟! قال: ""والذي نَفسي بيَدِه، ما مِن فرَسٍ إلَّا وهو يَدعو كُلَّ سَحَرٍ فيَقولُ: اللهُمَّ أنتَ خَوَّلتَني عَبدًا مِن عِبادِكَ، وجَعَلتَ رِزقي بيَدِه، فاجعَلْني أحَبَّ إليه مِن أهلِه ومالِه وولَدِه"".","ابن شماسة","تخريج المسند لشعيب","إسناده صحيح"
"أنَّ رسولَ اللهِ صلَّى اللهُ عليه وسلَّمَ كان يَدعو فيَقولُ: اللَّهُمَّ طَهِّرْني بالثَّلجِ والبَرَدِ والماءِ الباردِ، اللَّهُمَّ طَهِّرْ قَلبي مِن الخَطايا كما طَهَّرتَ الثَّوبَ الأبيَضَ مِن الدَّنَسِ، وباعِدْ بيْني وبيْنَ ذُنوبي كما باعَدتَ بيْنَ المَشرِقِ والمَغرِبِ، اللَّهُمَّ إنِّي أعوذُ بك مِن قَلبٍ لا يَخشَعُ، ومِن نَفْسٍ لا تَشبَعُ، ودُعاءٍ لا يُسمَعُ، وعِلمٍ لا يَنفَعُ، اللَّهُمَّ إنِّي أعوذُ بك مِن هؤلاء الأربعِ، اللَّهُمَّ إنِّي أسأَلُكَ عيشةً تَقيَّةً، وميتةً سَويَّةً، ومَرَدًّا غيرَ مُخزٍ.","عبدالله بن أبي أوفى","تخريج المسند لشعيب","صحيح لغيره"
"كان فيما دَعا به رسولُ اللهِ صلَّى اللهُ عليه وسلَّم في حَجَّةِ الوَداعِ: اللَّهُمَّ إنَّك تَسمَعُ كَلامي، وتَرى مَكاني، وتَعلَمُ سِرِّي وعَلانيتي، لا يَخفى عليك شَيءٌ من أمْري، أنا البائِسُ الفقيرُ، المستغيثُ المستجيرُ، الواجِلُ المُشفِقُ، المُقِرُّ المُعتَرِفُ بذَنْبِه، أسأَلُك مَسأَلةَ المِسكينِ، وأبتَهِلُ إليك ابتهالَ المُذنِبِ الذَّليلِ، وأدْعوك دُعاءَ الخائِفِ الضَّريرِ، مَن خَضَعتْ لك رَقبتُه، وفاضتْ لك عَيناهُ، وذَلَّ جَسَدُه، ورَغِمَ لك أنْفُه، اللَّهُمَّ لا تَجعَلْني بدُعائِك شَقيًّا، وكُنْ بي رَؤوفًا رَحيمًا، يا خَيرَ المَسْؤولينَ، ويا خَيرَ المُعْطينَ، [وفي رِوايَةٍ:] زادَ: الوجِلُ المُشفِقُ.","عبدالله بن عباس","مجمع الزوائد","فيه يحيى بن صالح الأبلي قال العقيلي‏‏ روى عنه يحيى بن بكير مناكير وبقية رجاله رجال الصحيح"
"أَخَّرَ طَوَافَ الزيارةِ يومَ النحرِ إلى الليلِ.","عبدالله بن عباس وعائشة","هداية الرواة","صحيح"
"أنَّ النبيَّ صلَّى اللهُ عليه وسلَّمَ أخَّرَ طوافَ الزيارَةِ إلى الليلِ.","عبدالله بن عباس وعائشة","سنن الترمذي","حسن صحيح"
"«أنَّ صَفِيَّةَ حاضَتْ بَعْدَ الزِّيارةِ ، فأمَرَها النَّبيُّ صلَّى اللهُ عليه وسلَّمَ أن تَنفِرَ».","عبدالله بن عباس","الأحاديث المختارة","له شاهد في الصحيح من حديث عائشة - رَضيَ اللهُ عنها -"
"إنَّ زيدَ بنَ ثابتٍ وابنَ عباسٍ اختلفا في المرأةِ تحيضُ بعد الزيارةِ في يومِ النحرِ بعد ما طافت بالبيتِ فقال زيدٌ يكون آخرُ عهدِها الطوافَ بالبيتِ وقال ابنُ عباسٍ تنفر إن شاءت فقال الأنصارُ لا نتابعُك يا ابنَ عباسٍ وأنت تخالف زيدًا وقال واسألوا صاحبتَكم أمَّ سُليمٍ فقالت حضتُ بعد ما طُفتُ بالبيتِ يومَ النحرِ فأمرَني رسولُ اللهِ صلَّى اللهُ عليهِ وسلَّمَ أن أنفِرَ وحاضتْ صفيَّةُ فقالت لها عائشةُ الخيبةُ لكِ إنك لحابِستِنا فذكر ذلك للنبيِّ صلَّى اللهُ عليهِ وسلَّمَ فقال مُروها فلْتنفِرْ.","أم سليم بنت ملحان أم أنس بن مالك","إرواء الغليل","إسناده صحيح"
"قد كنتُ نهيتُكم عن زيارةِ القبورِ فقد أُذِن لمحمَّدٍ في زيارةِ قبرِ أمِّه فزُورُوها فإنَّها تُذكِّرُ الآخرةَ.","بريدة بن الحصيب الأسلمي","الترغيب والترهيب","[إسناده صحيح أو حسن أو ما قاربهما]"
"كنتُ نَهيتُكم عن ثلاثٍ لا أبالي أن تأتوهنَّ نَهيتُكم عن زيارةِ القبورِ فزورُوها فقد أُذِنَ لِمُحمَّدٍ في زيارةِ قبرِ أمِّهِ.","بريدة بن الحصيب الأسلمي","الناسخ والمنسوخ لابن شاهين","صحيح"
"قدْ كنتُ نهيتُكم عن زيارَةِ القبورِ ، فقدْ أذِنَ لمحمدٍ في زيارةِ قبرِ أمِّهِ ، فزوروها ، فإِنَّها تذكرُكم الآخرةَ.","بريدة بن الحصيب الأسلمي","صحيح الجامع","صحيح"
"قَد كُنتُ نَهَيتُكُم عَن زيارةِ القُبورِ ، فقَدْ أذنَ لِمُحمَّدٍ في زيارَةِ قبرِ أمِّهِ ، فَزوروها فإنَّها تذَكِّرُ الآخِرةَ.","بريدة بن الحصيب الأسلمي","صحيح الترمذي","صحيح"
