"text","narrator","source","grade"
"مَن سَرَّه أن يَستَجيبَ اللهُ لهُ عِندَ الشدائدِ [ الكُرَبِ ] ؛ فَليُكثِرْ من الدُّعاءِ في الرَّخاءِ.","أبو هريرة","صحيح الترغيب","حسن لغيره"
"قيلَ يا رسولَ اللهِ أيُّ الدعاءِ أسمعُ قال : جَوفَ اللَّيلِ الأخيرِ ، ودُبرَ الصَّلواتِ المكتوباتِ.","أبو أمامة الباهلي","صحيح الترغيب","صحيح لغيره"
"لَيَنْتَهِيَنَّ أقوامٌ عن رَفعِهِمْ أبْصارَهُمْ عند الدُّعاءِ في الصلاةِ إلى السماءِ ، أوْ لَتُخطَفَنَّ أبْصارُهُمْ.","أبو هريرة","صحيح الجامع","صحيح"
"قيلَ : يا رسولَ اللهِ : أيُّ الدعاءِ أسمعُ ؟ قال : جوفُ الليلِ الآخرِ ، ودبُرُ الصلواتِ المكتوباتِ.","أبو أمامة الباهلي","أحاديث معلة","سنده رجال الصحيح ، ولكن قال يحيى بن معين أن عبد الرحمن بن سابط لم يسمع من أبي أمامة"
"رَأيتُ رَسولَ اللهِ صلَّى اللهُ عليه وسلَّم يَرفَعُ يَدَيه في الدُّعاءِ ، حتَّى يُرى بَياضُ إبْطَيه.","أنس بن مالك","صحيح مسلم","[صحيح]"
"إنَّ الدُّعاءَ يرُدُّ القَضاءَ، وإنَّ البِرَّ يَزيدُ في الرِّزقِ، وإنَّ العَبدَ لَيُحرَمُ الرِّزقَ بالذَّنبِ يُصيبُه.","ثوبان","المستدرك على الصحيحين","[سكت عنه وقال في المقدمة رواته ثقات احتج بمثله الشيخان أو أحدهما]"
"أنَّ العبدَ يُستجابُ له ما لَم يَعجَلْ ، فيقولُ : قد دعوتُ فلَم يُستَجَبْ لِي ، فيدَعُ الدُّعاءَ.","-","فتح الباري لابن رجب","صحيح"
"قال أَبو هُرَيرَةَ : إِنَّ أبخَلَ النَّاسِ من بَخِل بِالسَّلامِ ، وَأعجَزُ النَّاسِ مَن عَجَز عَنِ الدُّعاءِ.","-","فتح الباري لابن حجر","موقوف صحيح ، وقد روي مرفوعا"
"كان رسولُ اللهِ - صلَّى اللهُ عليهِ وسلَّم - يرفع يَدَيْه في الدعاءِ ؛ حتى يُرَى بياضُ إبطَيْهِ.","أنس بن مالك","هداية الرواة","إسناده صحيح على شرط مسلم"
"أَتُحِبُّونَ أنْ تَجْتَهِدُوا في الدعاءِ قولوا اللهمَّ أَعِنَّا على شُكْرِكَ ، و ذكرِكَ، و حُسْنِ عِبادَتِكَ.","أبو هريرة","السلسلة الصحيحة","إسناده صحيح"
"إذا خرجتَ من منزلِكَ فقل . . . فذكَرَ الدعاءَ بالإفرادِ [ دعاءَ اللهمَّ إني أعوذُ بكَ أن أَضِلَّ . . . ].","أم سلمة أم المؤمنين","السلسلة الصحيحة","إسناده رجاله ثقات رجال البخاري غير محمد بن عمرو بن خالد الحراني شيخ الطبراني فلم أجد له ترجمة"
"قال رسولُ اللهِ صلَّى اللهُ عليه وسلَّمَ: إنَّ الدُّعاءَ لا يُرَدُّ بيْنَ الأذانِ والإقامةِ، فادْعوا.","أنس بن مالك","تخريج المسند لشعيب","إسناده صحيح"
"كان رَسولُ اللهِ صلَّى اللهُ عليه وسلَّمَ يُعجِبُهُ الجَوامِعُ مِنَ الدُّعاءِ ، ويَدَعُ ما بَينَ ذلك.","عائشة أم المؤمنين","تخريج المسند لشعيب","إسناده صحيح"
"كان لا يَرفَعُ يَدَيهِ في شَيءٍ مِنَ الدعاءِ إلَّا عِندَ الاستِسقاءِ، حتى يُرى بياضُ إبْطَيْهِ.","أنس بن مالك","تخريج المسند لشعيب","إسناده صحيح"
"كان رسولُ اللهِ صلَّى اللهُ عليه وسلَّمَ يُعجِبُه الجوامِعُ منَ الدُّعاءِ ، ويَدَعُو بما بيْنَ ذلك.","عائشة أم المؤمنين","تخريج مشكل الآثار","إسناده صحيح على شرط مسلم"
"أنَّ رسولَ اللهِ صلَّى اللهُ عليه وسلَّمَ كان يُعجِبُه الجوامعُ مِنَ الدُّعاءِ ، ويَترُكُ ما بيْنَ ذلك.","عائشة","المستدرك على الصحيحين","صحيح الإسناد"
"أما الركوعُ فعظِّموا فيه الربَّ، وأما السجودُ فاجتهدوا فيه في الدعاءِ ، فإنه قَمِنٌ أن يُستجابَ لكم.","[عبدالله بن عباس]","أحكام القرآن لابن العربي","صحيح"
"عن أبي هريرةَ قال إنَّ أبخَلَ النَّاسِ مَن بخِل بالسَّلامِ وأعجَزَ النَّاسِ مَن عجَز عَنِ الدُّعاءِ.","-","مجمع الزوائد","رجاله رجال الصحيح‏‏"
"أنَّ رسولَ اللهِ صلَّى اللهُ عليهِ وسلَّمَ قال هذه الآيةِ وَلَا تَجْهَرْ بِصَلَاتِكَ نزلت في الدعاءِ.","أنصاري له صحبة","عمدة القاري","إسناده صحيح"
"الدعاءُ يردُّ القضاءَ، و إنَّ البرَّ يزيدُ في الرزقِ، و إنَّ العبدَ ليحرمَ الرزقَ بالذنبِ يصيبُهُ.","ثوبان مولى رسول الله صلى الله عليه وسلم","الجامع الصغير","صحيح"
"[حديثُ قبضِ أصابعِ الكفِّ اليمنَى مع الإشارةِ بالسبابةِ مع تحريكِها عندَ الدعاءِ تحريكًا خفيفًا حالَ التشهدِ].","-","مجموع فتاوى ابن باز","صحيح"
